year,round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff
2018,Round of 64,East,13,Marshall,81,4,Wichita State,75,6
2018,Round of 64,Midwest,3,Michigan State,82,14,Bucknell,78,4
2018,Round of 64,Midwest,4,Auburn,62,13,"Charleston, South Carolina",58,4
2018,Round of 64,Midwest,5,Clemson,79,12,New Mexico State,68,11
2018,Round of 64,Midwest,11,Syracuse,57,6,Texas Christian,52,5
2018,Round of 64,South,2,Cincinnati,68,15,Georgia State,53,15
2018,Round of 64,South,7,Nevada,87,10,Texas,83,4
2018,Round of 64,South,9,Kansas State,69,8,Creighton,59,10
2018,Round of 64,South,16,UMBC,74,1,Virginia,54,20
2018,Round of 64,West,1,"Xavier, Ohio",102,16,Texas Southern,83,19
2018,Round of 64,West,2,North Carolina,84,15,Lipscomb,66,18
2018,Round of 64,West,7,Texas A&M,73,10,Providence,69,4
2018,Round of 64,West,9,Florida State,67,8,Missouri,54,13
2018,Round of 32,East,1,Villanova,81,9,Alabama,58,23
2018,Round of 32,East,3,Texas Tech,69,6,Florida,66,3
2018,Round of 32,Midwest,1,Kansas,83,8,Seton Hall,79,4
2018,Round of 32,Midwest,2,Duke,87,7,Rhode Island,62,25
2018,Round of 32,South,5,Kentucky,95,13,Buffalo,75,20
2018,Round of 32,South,11,"Loyola, Illinois",63,3,Tennessee,62,1
2018,Round of 32,West,3,Michigan,64,6,Houston,63,1
2018,Round of 32,West,4,Gonzaga,90,5,Ohio State,84,6
2018,Round of 32,East,2,Purdue,76,10,Butler,73,3
2018,Round of 32,East,5,West Virginia,94,13,Marshall,71,23
2018,Round of 32,Midwest,5,Clemson,84,4,Auburn,53,31
2018,Round of 32,Midwest,11,Syracuse,55,3,Michigan State,53,2
2018,Round of 32,South,7,Nevada,75,2,Cincinnati,73,2
2018,Round of 32,South,9,Kansas State,50,16,UMBC,43,7
2018,Round of 32,West,7,Texas A&M,86,2,North Carolina,65,21
2018,Round of 32,West,9,Florida State,75,1,"Xavier, Ohio",70,5
2018,Sweet Sixteen,South,9,Kansas State,61,5,Kentucky,58,3
2018,Sweet Sixteen,South,11,"Loyola, Illinois",69,7,Nevada,68,1
2018,Sweet Sixteen,West,3,Michigan,99,7,Texas A&M,72,27
2018,Sweet Sixteen,West,9,Florida State,75,4,Gonzaga,60,15
2018,Sweet Sixteen,East,1,Villanova,90,5,West Virginia,78,12
2018,Sweet Sixteen,East,3,Texas Tech,78,2,Purdue,65,13
2018,Sweet Sixteen,Midwest,1,Kansas,80,5,Clemson,76,4
2018,Sweet Sixteen,Midwest,2,Duke,69,11,Syracuse,65,4
2018,Elite Eight,South,11,"Loyola, Illinois",78,9,Kansas State,62,16
2018,Elite Eight,West,3,Michigan,58,9,Florida State,54,4
2018,Elite Eight,East,1,Villanova,71,3,Texas Tech,59,12
2018,Elite Eight,Midwest,1,Kansas,85,2,Duke,81,4
2018,National Semifinals,NA,1,Villanova,95,1,Kansas,79,16
2018,National Semifinals,NA,3,Michigan,69,11,"Loyola, Illinois",57,12
2018,National Championship,NA,1,Villanova,79,3,Michigan,62,17
