round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Round of 64,East,5,Georgia Tech,90,12,Iowa State,78,12,1988
Round of 64,East,8,Georgetown,66,9,Louisiana State,63,3,1988
Round of 64,East,13,Richmond,72,4,Indiana,69,3,1988
Round of 64,Midwest,2,Pittsburgh,108,15,Eastern Michigan,90,18,1988
Round of 64,Midwest,6,Kansas,85,11,"Xavier, Ohio",72,13,1988
Round of 64,Midwest,7,Vanderbilt,80,10,Utah State,77,3,1988
Round of 64,Midwest,14,Murray State,78,3,North Carolina State,75,3,1988
Round of 64,Southeast,2,Kentucky,99,15,Southern,84,15,1988
Round of 64,Southeast,3,Illinois,81,14,Texas-San Antonio,72,9,1988
Round of 64,Southeast,6,Villanova,82,11,Arkansas,74,8,1988
Round of 64,Southeast,7,Maryland,92,10,California-Santa Barbara,82,10,1988
Round of 64,West,1,Arizona,90,16,Cornell,50,40,1988
Round of 64,West,4,Nevada-Las Vegas,54,13,Missouri State,50,4,1988
Round of 64,West,5,Iowa,102,12,Florida State,98,4,1988
Round of 64,West,8,Seton Hall,80,9,Texas-El Paso,64,16,1988
Round of 32,East,2,Duke,94,7,Southern Methodist,79,15,1988
Round of 32,East,11,Rhode Island,97,3,Syracuse,94,3,1988
Round of 32,Midwest,1,Purdue,100,9,Memphis,73,27,1988
Round of 32,Midwest,4,Kansas State,66,5,DePaul,58,8,1988
Round of 32,Southeast,1,Oklahoma,107,8,Auburn,87,20,1988
Round of 32,Southeast,5,Louisville,97,4,Brigham Young,76,21,1988
Round of 32,West,2,North Carolina,123,10,Loyola Marymount,97,26,1988
Round of 32,West,3,Michigan,108,6,Florida,85,23,1988
Round of 32,East,1,Temple,74,8,Georgetown,53,21,1988
Round of 32,East,13,Richmond,59,5,Georgia Tech,55,4,1988
Round of 32,Midwest,6,Kansas,61,14,Murray State,58,3,1988
Round of 32,Midwest,7,Vanderbilt,80,2,Pittsburgh,74,6,1988
Round of 32,Southeast,2,Kentucky,90,7,Maryland,81,9,1988
Round of 32,Southeast,6,Villanova,66,3,Illinois,63,3,1988
Round of 32,West,1,Arizona,84,8,Seton Hall,55,29,1988
Round of 32,West,5,Iowa,104,4,Nevada-Las Vegas,86,18,1988
Sweet Sixteen,East,1,Temple,69,13,Richmond,47,22,1988
Sweet Sixteen,East,2,Duke,73,11,Rhode Island,72,1,1988
Sweet Sixteen,Southeast,1,Oklahoma,108,5,Louisville,98,10,1988
Sweet Sixteen,Southeast,6,Villanova,80,2,Kentucky,74,6,1988
Sweet Sixteen,Midwest,4,Kansas State,73,1,Purdue,70,3,1988
